No.,英語,品詞,日本語,学年,ページ,単元,
1150,graduation ceremony,名,卒業式,1,144,WR15,
1151,activity,名,活動,1,144,WR16,
1152,brass band,名,ブラスバンド、吹奏楽団,1,144,WR16,
1153,newspaper,名,新聞,1,144,WR16,
1154,bus stop,名,バス停,1,145,WR17,
1155,police station,名,警察署,1,145,WR17,
1156,fire station,名,消防署,1,145,WR17,
1157,bookstore,名,書店,1,145,WR17,
1158,supermarket,名,スーパーマーケット,1,145,WR17,
1159,temple,名,寺,1,145,WR17,
1160,stadium,名,スタジアム、競技場,1,145,WR17,
1161,bus,名,バス,1,145,WR17,
1162,taxi,名,タクシー,1,145,WR17,
1163,job,名,職、仕事,1,145,WR18,
1164,comedian,名,コメディアン,1,145,WR18,
1165,artist,名,芸術家、芸能人,1,145,WR18,
1166,writer,名,筆者、作家,1,145,WR18,
1167,nurse,名,看護師,1,145,WR18,
1168,vet,名,獣医,1,145,WR18,
1169,baker,名,パン焼き職人,1,145,WR18,
1170,farmer,名,農場主,1,145,WR18,
1171,police officer,名,警察官,1,145,WR18,
1172,fire fighter,名,消防士,1,145,WR18,
1173,pilot,名,パイロット,1,145,WR18,
1174,astronaut,名,宇宙飛行士,1,145,WR18,
1175,researcher,名,研究者,1,145,WR18,
1176,scientist,名,科学者,1,145,WR18,
1177,flight attendant,名,（飛行機の）客室乗務員,1,145,WR18,
1178,driver,名,運転手,1,145,WR18,
1179,classmate,名,同級生,1,145,WR19,
1180,grandmother,名,祖母,1,145,WR19,
1181,grandfather,名,祖父,1,145,WR19,
1182,aunt,名,おば、おばさん,1,145,WR19,
1183,uncle,名,おじ、おじさん,1,145,WR19,
1184,body,名,体,1,145,WR20,
1185,hair,名,髪,1,145,WR20,
1186,head,名,頭,1,145,WR20,
1187,face,名,顔,1,145,WR20,
1188,shoulder,名,肩,1,145,WR20,
1189,arm,名,腕,1,145,WR20,
1190,knee,名,ひざ,1,145,WR20,
1191,eye,名,目,1,145,WR20,
1192,ear,名,耳,1,145,WR20,
1193,mouth,名,口,1,145,WR20,
1194,tooth,名,歯,1,145,WR20,
1195,teeth,名,toothの複数形,1,145,WR20,
1196,neck,名,首,1,145,WR20,
1197,leg,名,脚,1,145,WR20,
1198,toe,名,足の指,1,145,WR20,
1199,spell,動,（語）をつづる,1,146,WR21,
1200,listen,動,聞く、耳を傾ける,1,146,WR21,
1201,catch,動,…を捕まえる、…をとらえる,1,146,WR21,
1202,fly,動,飛ぶ,1,146,WR21,
1203,ride,動,…に乗る、乗っていく,1,146,WR21,
1204,save,動,…を救う,1,146,WR21,
1205,dance,動,おどる、ダンスをする,1,146,WR21,
1206,cookie,名,クッキー,1,146,WR22,
1207,skate,動,スケートをする,1,146,WR22,
1208,high,副,高く,1,146,WR22,
1209,dancing,名,おどり、ダンス,1,146,WR23,
1210,fishing,名,（魚）つり,1,146,WR23,
1211,hiking,名,ハイキング,1,146,WR23,
1212,shopping,名,買い物,1,146,WR23,
1213,reading,名,読書、読むこと,1,146,WR23,
1214,wake,動,目が覚める,1,147,WR24,
1215,wake up,連,目が覚める、目を覚ます,1,147,WR24,
1216,get up ,連,起きる、起床する,1,147,WR24,
1217,wash,動,（ …を）洗う,1,147,WR24,
1218,comb,動,（髪）をくしでとかす,1,147,WR24,
1219,breakfast,名,朝食,1,147,WR24,
1220,brush,動,…をみがく,1,147,WR24,
1221,garbage,名,生ごみ、ごみ,1,147,WR24,
1222,dinner,名,夕食、ディナー,1,147,WR24,
1223,dish,名,皿,1,147,WR24,
1224,get,動,（ある状態）になる,1,147,WR24,
1225,home,副,家に［へ］,1,147,WR24,
1226,walk,動,（イヌなど）を歩かせる、散歩させる,1,147,WR24,
1227,never,副,決して…ない,1,147,WR25,
1228,delicious,形,とてもおいしい,1,147,WR27,
1229,low,形,（高さ・位置などが）低い,1,147,WR27,
1230,short,形,（時間・長さ・距離が）短い,1,147,WR27,
1231,slow,形,遅い,1,147,WR27,
1232,active,形,活動的な,1,147,WR27,
1233,shy,形,内気な、恥ずかしがりの,1,147,WR27,
1234,smart,形,りこうな、頭のいい、抜け目のない,1,147,WR27,
1235,bitter,形,苦い,1,147,WR27,
1236,salty,形,塩気のある、塩からい,1,147,WR27,
1237,sour,形,酸っぱい,1,147,WR27,
1238,spicy,形,香辛料のきいた、香ばしい,1,147,WR27,
1239,soft,形,やわらかい,1,147,WR27,
1240,fast,形,速い,1,147,WR27,
1241,hard,形,かたい,1,147,WR27,
1242,high,形,高い,1,147,WR27,
1243,old,形,古い,1,147,WR27,
1244,sweet,形,甘い,1,147,WR27,
1245,same,形,同じ、同一の,2,6,U0,
1246,experience,名,経験、体験,2,6,U0,
1247,actually,副,実は、本当は,2,6,U0,
1248,ramen,名,ラーメン,2,6,U0,
1249,instant,形,即座の、緊急の、（食べ物が）即席の,2,6,U0,
1250,noodle,名,ヌードル、めん,2,6,U0,
1251,by the way,連,ところで,2,6,U0,
1252,by,前,［by the wayで］ところで,2,6,U0,
1253,experience,動,…を経験する,2,9,U1-扉,
1254,golden,形,金色の、すばらしい,2,10,U1-1,
1255,holiday,名,休日、休暇,2,10,U1-1,
1256,Singapore,名,シンガポール,2,10,U1-1,
1257,flight,名,飛ぶこと、飛行、（飛行機の）便、空の旅,2,10,U1-1,
1258,arrive,動,到着する,2,10,U1-1,
1259,airport,名,空港、飛行場,2,10,U1-1,
1260,soon,副,すぐに、まもなく,2,10,U1-1,
1261,See you.,連,またね。,2,10,U1-1,
1262,be going to ,連,…するつもりだ,2,10,U1-1,
1263,around,前,…のあちこちに［で、を］,2,10,U1-1,
1264,for,前,【方向・行き先】…に、…へ,2,10,U1-1,
1265,in,前,【運動・方向】…の中へ、…に,2,10,U1-1,
1266,leave,動,去る、出発する,2,10,U1-1,
1267,show,動,…を案内する,2,10,U1-1,
1268,will,助,【単なる未来】…でしょう、…だろう,2,11,U1-2,
1269,excited,形,わくわくした,2,11,U1-2,
1270,seafood,名,シーフード,2,11,U1-2,
1271,reservation,名,予約,2,11,U1-2,
1272,you’ll,短,you will,2,11,U1-2,
1273,I’ll,短,I will,2,11,U1-2,
1274,first,副,第1に、最初に,2,11,U1-2,
1275,will,助,【意志】…するつもりだ,2,11,U1-2,
1276,meter,名,メートル,2,12,U1-RT1,
1277,tall,形,［身長・高さを表す名詞のあとに用いて］身長［高さ］が…ある,2,12,U1-RT1,
1278,weigh,動,…の重さがある,2,12,U1-RT1,
1279,ton,名,トン,2,12,U1-RT1,
1280,found,動,findの過去形,2,12,U1-RT1,
1281,find,動,…を見つける、発見する,2,12,U1-RT1,
1282,language,名,言語、言葉,2,12,U1-RT1,
1283,dollar,名,ドル,2,12,U1-RT1,
1284,example,名,例、実例,2,12,U1-RT1,
1285,communicate,動,連絡する、意思の疎通をする,2,12,U1-RT1,
1286,for example,連,例えば,2,12,U1-RT1,
1287,Chinese,名,中国語,2,12,U1-RT1,
1288,different,形,ちがう、異なる,2,12,U1-RT1,
1289,of,前,【主題】…について,2,12,U1-RT1,
1290,shop,動,買い物をする,2,12,U1-RT1,
1291,painting,名,（絵の具でかいた）絵、絵画,2,14,U1-RT2,
1292,wall,名,かべ,2,14,U1-RT2,
1293,surprised,形,驚いた、びっくりした,2,14,U1-RT2,
1294,area,名,区域、場所、地域,2,14,U1-RT2,
1295,India,名,インド,2,14,U1-RT2,
1296,mosque,名,モスク、イスラム教寺院,2,14,U1-RT2,
1297,culture,名,文化,2,14,U1-RT2,
1298,with,前,【携帯・所有】…を身につけて、…のある,2,14,U1-RT2,
1299,especially,副,特に、とりわけ,2,20,U2-1,
1300,order,動,…を注文する,2,20,U2-1,
1301,topping,名,トッピング,2,20,U2-1,
1302,various,形,いろいろな,2,20,U2-1,
1303,flavor,名,（独特な）味、（香りもふくめた）風味,2,20,U2-1,
1304,soy sauce,名,しょうゆ,2,20,U2-1,
1305,salt,名,塩、食塩,2,20,U2-1,
1306,and so on,連,…など,2,20,U2-1,
1307,and so on,連,…など,2,20,U2-1,
1308,so,副,そのように、そう,2,20,U2-1,
1309,when,接,…するときに,2,20,U2-1,
1310,speech,名,スピーチ、演説,2,21,U2-2,
1311,sometime,副,いつか、そのうち,2,21,U2-2,
1312,if,接,【条件・仮定】もし…ならば,2,21,U2-2,
1313,add,動,（ ～に）…を加える、足す,2,21,U2-2,
1314,butter,名,バター,2,21,U2-2,
1315,would love to,連,…したい（のですが）,2,21,U2-2,
1316,can,助,【許可】…してもよい,2,21,U2-2,
1317,interested,形,興味を持っている,2,22,U2-RT1,
1318,forget,動,（ …を）忘れる,2,22,U2-RT1,
1319,kind,名,種類,2,22,U2-RT1,
1320,#NAME?,形,…をベースにした,2,22,U2-RT1,
1321,because,接,…だから、…なので,2,22,U2-RT1,
1322,thick,形,濃い、どろっとした,2,22,U2-RT1,
1323,recommended,形,おすすめの,2,22,U2-RT1,
1324,manufacturer,名,製造業者、メーカー,2,22,U2-RT1,
1325,early,副,早く,2,22,U2-RT1,
1326,be interested in,連,…に興味がある,2,22,U2-RT1,
1327,... kind(s) of ～,連,…種類の～,2,22,U2-RT1,
1328,stay,動,…のままでいる,2,22,U2-RT1,
1329,with,前,【道具・手段】…で、…を使って,2,22,U2-RT1,
1330,reflect,動,（物事・考えなど）を反映する,2,24,U2-RT2,
1331,climate,名,気候,2,24,U2-RT2,
1332,lives,名,lifeの複数形,2,24,U2-RT2,
1333,creativity,名,創造性［力］、独創性［力］,2,24,U2-RT2,
1334,chef,名,シェフ、コック長,2,24,U2-RT2,
1335,foreign,形,外国（へ［から］）の,2,24,U2-RT2,
1336,variation,名,変化、変種,2,24,U2-RT2,
1337,Italy,名,イタリア,2,24,U2-RT2,
1338,create,動,…を創造する、つくり出す,2,24,U2-RT2,
1339,sauce,名,ソース,2,24,U2-RT2,
1340,change,動,変わる、変化する,2,24,U2-RT2,
1341,come from,連,…出身である、…から来ている,2,24,U2-RT2,
1342,Here is [are] ....,連,これが…です。ここに…があります。…をどうぞ。,2,24,U2-RT2,
1343,name ... after ～,連,～にちなんで（人など）を…と名づける,2,24,U2-RT2,
1344,after,前,…にならって、ちなんで,2,24,U2-RT2,
1345,another,形,もう1つ［1人］の,2,24,U2-RT2,
1346,name,動,（ 人など）に…という名前をつける,2,24,U2-RT2,
1347,traveler,名,旅行者,2,27,RLE2,
1348,resident,名,住民、居住者,2,27,RLE2,
1349,may,助,【許可】…してもよい,2,27,RLE2,
1350,ask,動,…に（～を）たのむ,2,27,RLE2,
1351,favor,名,親切な行為,2,27,RLE2,
1352,could,助,canの過去形。【ていねいな依頼】Could you ...?　…してくださいませんか。,2,27,RLE2,
1353,menu,名,メニュー,2,27,RLE2,
1354,ask ... a favor,連,…にお願いする,2,27,RLE2,
1355,Say cheese!,連,はい、チーズ！,2,27,RLE2,
1356,May I ...?,連,…してもよいですか。,2,27,RLE2,
1357,career,名,職業,2,30,U3-1,
1358,information,名,情報,2,30,U3-1,
1359,international,形,国際的な,2,30,U3-1,
1360,nursery,名,保育所、託児所,2,30,U3-1,
1361,note,名,メモ、覚え書き,2,30,U3-1,
1362,own,形,自分自身の、独自の,2,30,U3-1,
1363,tag,名,つけ札、下げ札、荷札,2,30,U3-1,
1364,chopstick,名,［ふつうchopsticksで］（食事用の）はし,2,30,U3-1,
1365,picture book,名,（主に子供用の）絵本、図鑑,2,30,U3-1,
1366,nursery school,連,保育園,2,30,U3-1,
1367,park,動,（自動車など）を駐車する,2,30,U3-1,
1368,play,動,遊ぶ,2,30,U3-1,
1369,to,前,【不定詞（副詞的）】…するために［目的を表す］,2,30,U3-1,
1370,chose,動,chooseの過去形,2,31,U3-2,
1371,choose,動,…を選ぶ,2,31,U3-2,
1372,colorful,形,色彩に富んだ,2,31,U3-2,
1373,illustration,名,例、挿絵、図、イラスト、（図・例などによる）説明,2,31,U3-2,
1374,How about ...?,連,［提案・勧誘］…どうですか。,2,31,U3-2,
1375,to,前,【不定詞（副詞的）】…して［原因を表す］,2,31,U3-2,
1376,pretty,形,かわいい、きれいな,2,32,U3-RT1,
1377,taught,動,teachの過去形,2,32,U3-RT1,
1378,important,形,重要な、大切な,2,32,U3-RT1,
1379,moon,名,（天体の）月,2,32,U3-RT1,
1380,lay,動,lieの過去形,2,32,U3-RT1,
1381,lie,動,位置する、ある,2,32,U3-RT1,
1382,leaf,名,（草木の）葉,2,32,U3-RT1,
1383,pop,名,ポンと鳴る音,2,32,U3-RT1,
1384,tiny,形,ごく小さい,2,32,U3-RT1,
1385,caterpillar,名,イモムシ、毛虫,2,32,U3-RT1,
1386,pear,名,西洋ナシ、西洋ナシの木,2,32,U3-RT1,
1387,plum,名,西洋スモモ、プラム,2,32,U3-RT1,
1388,come up,連,のぼる,2,32,U3-RT1,
1389,come out of,連,…から出てくる,2,32,U3-RT1,
1390,light,名,光,2,32,U3-RT1,
1391,start,動,（…を）始める,2,32,U3-RT1,
1392,to,前,【不定詞（形容詞的）】…するための、…すべき,2,32,U3-RT1,
1393,learn,動,（…を）学ぶ、習う,2,34,U3-RT2,
1394,necessary,形,必要な,2,34,U3-RT2,
1395,adjust,動,…を調節する,2,34,U3-RT2,
1396,speed,名,スピード、速度,2,34,U3-RT2,
1397,story,名,話、物語,2,34,U3-RT2,
1398,difficult,形,難しい、困難な,2,34,U3-RT2,
1399,sentence,名,文,2,34,U3-RT2,
1400,clearly,副,はっきりと,2,34,U3-RT2,
1401,understand,動,（…を）理解する、わかる,2,34,U3-RT2,
1402,smile,動,ほほえむ、微笑する,2,34,U3-RT2,
1403,clap,動,（手）をたたく、（人・演技など）に拍手する,2,34,U3-RT2,
1404,glad,形,うれしい,2,34,U3-RT2,
1405,loud,副,大きな声で,2,34,U3-RT2,
1406,sincerely,副,心から、本気で、誠実に,2,34,U3-RT2,
1407,Thank you［Thanks］for ....,連,…をありがとう。,2,34,U3-RT2,
1408,again and again,連,何度も何度も,2,34,U3-RT2,
1409,from now on,連,これからは、今後は,2,34,U3-RT2,
1410,"Sincerely (yours),",連,（手紙の結びで）敬具,2,34,U3-RT2,
1411,from,前,【時間】…から,2,34,U3-RT2,
1412,it,代,［「It is ... （for ＋（人））＋ to ＋ 動詞の原形」で］（（人）が）～することは…です,2,34,U3-RT2,
1413,now,名,今、現在,2,34,U3-RT2,
1414,on,副,先へ、前へ,2,34,U3-RT2,
1415,out,副,はっきりと、大声で,2,34,U3-RT2,
1416,second,副,第2に、2番めに,2,34,U3-RT2,
1417,flour,名,小麦粉,2,41,SA1,
1418,cabbage,名,キャベツ,2,41,SA1,
1419,crispy,形,カリカリした,2,41,SA1,
1420,tasty,形,おいしい、味がよい,2,41,SA1,
1421,easily,副,簡単に、楽に、すぐに,2,41,SA1,
1422,ingredient,名,（料理などの）材料,2,41,SA1,
1423,reason,名,理由、根拠,2,41,SA1,
1424,of,前,【性質・特徴】…の,2,41,SA1,
1425,check,動,…を調べる、チェックする,2,44,LR1(p.44),
1426,however,副,しかしながら、けれども,2,44,LR1(p.44),
1427,easy,形,やさしい、簡単な,2,44,LR1(p.44),
1428,ago,副,（今から）…前に,2,44,LR1(p.44),
1429,timekeeping,名,時間の計測,2,44,LR1(p.44),
1430,ancient,形,古代の,2,44,LR1(p.44),
1431,Egyptian,名,エジプト人,2,44,LR1(p.44),
1432,put,動,putの過去形,2,44,LR1(p.44),
1433,put,動,…を置く、入れる、つける,2,44,LR1(p.44),
1434,stick,名,棒,2,44,LR1(p.44),
1435,shadow,名,影,2,44,LR1(p.44),
1436,told,動,tellの過去形,2,44,LR1(p.44),
1437,long ago,連,ずっと前に,2,44,LR1(p.44),
1438,some of,連,…のうちいくつか［いく人か］,2,44,LR1(p.44),
1439,about,副,およそ、約、…ごろ,2,44,LR1(p.44),
1440,long,副,長い間、ずっと,2,44,LR1(p.44),
1441,some,代,いくらか、多少、少し、数人,2,44,LR1(p.44),
1442,measure,動,…をはかる,2,45,LR1(p.45),
1443,without,前,…なしで［に］,2,45,LR1(p.45),
1444,pot,名,つぼ、かめ,2,45,LR1(p.45),
1445,hole,名,穴,2,45,LR1(p.45),
1446,decrease,動,減る、減少する,2,45,LR1(p.45),
1447,line,名,線、電線、路線,2,45,LR1(p.45),
1448,fire,名,火、炎,2,45,LR1(p.45),
1449,burn,動,…を燃やす,2,45,LR1(p.45),
1450,candle,名,ろうそく,2,45,LR1(p.45),
1451,gave,動,giveの過去形,2,45,LR1(p.45),
1452,give,動,（～に）…を与える、渡す、もたらす,2,45,LR1(p.45),
1453,at night,連,夜に（は）,2,45,LR1(p.45),
1454,little by little,連,少しずつ,2,45,LR1(p.45),
1455,little by little,連,少しずつ,2,45,LR1(p.45),
1456,could,助,canの過去形。【能力・可能】…することができた,2,45,LR1(p.45),
1457,little,代,［little by littleで］少しずつ,2,45,LR1(p.45),
1458,other,形,ほかの、別の,2,45,LR1(p.45),
1459,mechanical,形,機械の,2,46,LR1(p.46),
1460,weight,名,重いもの、おもり,2,46,LR1(p.46),
1461,power,動,…に動力を供給する、…を動力で動かす,2,46,LR1(p.46),
1462,hour,名,時刻,2,46,LR1(p.46),
1463,bell,名,ベルや鈴、かね（の音）,2,46,LR1(p.46),
1464,heavy,形,重い,2,46,LR1(p.46),
1465,move,動,…を動かす,2,46,LR1(p.46),
1466,improve,動,…を改善する、上達させる,2,46,LR1(p.46),
1467,light,形,軽い,2,46,LR1(p.46),
1468,eventually,副,最後には、ようやく,2,46,LR1(p.46),
1469,began,動,beginの過去形,2,46,LR1(p.46),
1470,begin,動,…を始める,2,46,LR1(p.46),
1471,carry,動,…を（持ち）運ぶ、…を持っていく,2,46,LR1(p.46),
1472,begin to,連,…し始める,2,46,LR1(p.46),
1473,spring,名,ばね、ぜんまい,2,46,LR1(p.46),
1474,to,前,【不定詞（副詞的）】…するのが,2,46,LR1(p.46),
1475,type,名,タイプ、種類,2,47,LR1(p.47),
1476,result,名,結果,2,47,LR1(p.47),
1477,invention,名,発明、発明品,2,47,LR1(p.47),
1478,effort,名,努力,2,47,LR1(p.47),
1479,even,副,…でさえ,2,47,LR1(p.47),
1480,recognize,動,（見たり聞いたりして）…とわかる、…を認識する,2,47,LR1(p.47),
1481,idea,名,考え、アイディア,2,47,LR1(p.47),
1482,technology,名,（科学）技術、テクノロジー,2,47,LR1(p.47),
1483,wisdom,名,知恵、英知,2,47,LR1(p.47),
1484,it is time to,連,…すべき時である,2,47,LR1(p.47),
1485,great,形,偉大な、すぐれた,2,47,LR1(p.47),
1486,improve,動,よくなる、進歩する,2,47,LR1(p.47),
1487,now,副,さて、ところで、さあ,2,47,LR1(p.47),
1488,homestay,名,ホームステイ,2,50,U4-1,
1489,advice,名,忠告、助言,2,50,U4-1,
1490,member,名,一員、メンバー,2,50,U4-1,
1491,guest,名,客、泊まり客,2,50,U4-1,
1492,follow,動,…に従う、…を守る,2,50,U4-1,
1493,rule,名,規則、ルール,2,50,U4-1,
1494,host,名,（招待した客をもてなす）主人（役）,2,50,U4-1,
1495,perfect,形,完全な、完ぺきな、最適な,2,50,U4-1,
1496,have to ,連,…しなければならない,2,50,U4-1,
1497,don’t [doesn’t] have to,連,…しなくてよい,2,50,U4-1,
1498,host family ,連,ホストファミリー［ホームステイ先の家族］,2,50,U4-1,
1499,ask,動,（…を［に］）たずねる、質問する,2,50,U4-1,
1500,must,助,…しなければならない,2,51,U4-2,
1501,shower,名,シャワー,2,51,U4-2,
1502,limit,名,限界、限度、制限,2,51,U4-2,
1503,mustn’t,短,must not,2,51,U4-2,
1504,must not,連,…してはいけない,2,51,U4-2,
1505,by,前,【時間】…までに,2,51,U4-2,
1506,save,動,…を節約する,2,51,U4-2,
1507,elderly,形,年配の,2,52,U4-RT1,
1508,couple,名,夫婦,2,52,U4-RT1,
1509,living room,名,居間、リビングルーム,2,52,U4-RT1,
1510,finish,動,…を終える,2,52,U4-RT1,
1511,nothing,代,何も…ない,2,52,U4-RT1,
1512,should,助,…すべきである,2,52,U4-RT1,
1513,plate,名,（浅い）取り皿,2,52,U4-RT1,
1514,hurt,動,…を傷つける,2,52,U4-RT1,
1515,feeling,名,感情、気持ち,2,52,U4-RT1,
1516,go to bed,連,床につく、寝る,2,52,U4-RT1,
1517,after,接,…したあとで,2,52,U4-RT1,
1518,much,形,［数えられない名詞につけて］多くの、多量の,2,52,U4-RT1,
1519,much,代,多量、たくさん,2,52,U4-RT1,
1520,answer,動,…に答える,2,54,U4-RT2,
1521,enter,動,（場所）に入る,2,54,U4-RT2,
1522,explain,動,…を説明する,2,54,U4-RT2,
1523,felt,動,feelの過去分詞,2,54,U4-RT2,
1524,feel,動,…と感じる、気持ちがする,2,54,U4-RT2,
1525,end,名,（期間、行為などの）終わり、最後,2,54,U4-RT2,
1526,kept,動,keepの過去形,2,54,U4-RT2,
1527,keep,動,［keep ...ingで］…し続ける,2,54,U4-RT2,
1528,carefully,副,注意深く,2,54,U4-RT2,
1529,take off,連,（服など）を脱ぐ,2,54,U4-RT2,
1530,feel like ...ing,連,…したい気がする,2,54,U4-RT2,
1531,in the end,連,結局,2,54,U4-RT2,
1532,each other,連,たがい（に）,2,54,U4-RT2,
1533,keep ...ing,連,…し続ける,2,54,U4-RT2,
1534,in the future ,連,未来に、将来に,2,54,U4-RT2,
1535,couldn’t,短,could not,2,54,U4-RT2,
1536,listen to,連,…を聞く,2,54,U4-RT2,
1537,felt,動,feelの過去形,2,54,U4-RT2,
1538,get,動,着く、到着する,2,54,U4-RT2,
1539,near,形,近い、近くの,2,54,U4-RT2,
1540,off,副,脱いで,2,54,U4-RT2,
1541,other,代,別の人［もの］、ほかの人［もの］,2,54,U4-RT2,
1542,Mrs.,名,［結婚している女性をさして］…さん、先生,2,57,RLE4,
1543,precious,形,貴重な、大切な,2,57,RLE4,
1544,able,形,［be able toで］ …することができる,2,57,RLE4,
1545,be able to,連,…することができる,2,57,RLE4,
1546,"Best wishes,",連,それでは。［手紙の結びの言葉］,2,57,RLE4,
1547,wish,名,祝福の言葉、祈り,2,57,RLE4,
1548,universal,形,全ての人々の,2,60,U5-1,
1549,design,名,デザイン,2,60,U5-1,
1550,fair,名,博覧会、フェア,2,60,U5-1,
1551,bottle,名,びん、ボトル,2,60,U5-1,
1552,automatic,形,（機械などが）自動式の、機械的な、無意識の,2,60,U5-1,
1553,adjustable,形,調節可能な,2,60,U5-1,
1554,public,形,公の、公共の,2,60,U5-1,
1555,touch,動,…にさわる、ふれる,2,60,U5-1,
1556,product,名,製品,2,60,U5-1,
1557,facility,名,施設、設備,2,60,U5-1,
1558,city hall,名,市役所,2,60,U5-1,
1559,how to,連,…する方法、どう…するか,2,60,U5-1,
1560,to,前,【疑問詞 ＋ 不定詞】…すべきか、…したらよいか、…のやり方,2,60,U5-1,
1561,staff,名,職員、従業員,2,61,U5-2,
1562,tap,動,…を軽くたたく、トントン［コツコツ］たたく,2,61,U5-2,
1563,castanets,名,［複数あつかい］カスタネット,2,61,U5-2,
1564,both,接,［both ... and ～で］…も～も両方,2,61,U5-2,
1565,left-handed,形,左利きの、左利き用の,2,61,U5-2,
1566,right-handed,形,右利きの、右利き用の,2,61,U5-2,
1567,over here,連,こちらに、こちらでは,2,61,U5-2,
1568,thanks to,連,…のおかげで,2,61,U5-2,
1569,over,副,向こうへ、あちらへ、こちらへ,2,61,U5-2,
1570,paper,名,紙、用紙,2,61,U5-2,
1571,useful,形,役に立つ、有用な,2,62,U5-RT1,
1572,sign,名,標識、看板、掲示,2,62,U5-RT1,
1573,young,形,若い、幼い,2,62,U5-RT1,
1574,ramp,名,スロープ,2,62,U5-RT1,
1575,stair,名,［stairsで］階段,2,62,U5-RT1,
1576,wheelchair,名,車いす,2,62,U5-RT1,
1577,pull,動,…をひく、ひっぱる,2,62,U5-RT1,
1578,baggage,名,（旅行者の）手荷物,2,62,U5-RT1,
1579,baby,名,赤ん坊,2,62,U5-RT1,
1580,presentation,名,発表、プレゼンテーション,2,62,U5-RT1,
1581,next,副,次に、今度は,2,62,U5-RT1,
1582,sure,形,確信して,2,62,U5-RT1,
1583,that,接,…ということ,2,62,U5-RT1,
1584,the,冠,［形容詞につけて］…な［の］人々 the elderly お年寄り,2,62,U5-RT1,
1585,this,代,今述べたこと、次に述べること,2,62,U5-RT1,
1586,American,形,アメリカの、アメリカ人の,2,64,U5-RT2,
1587,professor,名,教授,2,64,U5-RT2,
1588,childhood,名,子供のころ,2,64,U5-RT2,
1589,remove,動,…を取り除く,2,64,U5-RT2,
1590,barrier,名,壁、障壁,2,64,U5-RT2,
1591,disabled,形,体の不自由な,2,64,U5-RT2,
1592,regardless,副,何があっても、とにかく、（困難・忠告などに）おかまいなしに,2,64,U5-RT2,
1593,ability,名,（…する）能力、…できること、才能,2,64,U5-RT2,
1594,situation,名,立場、境遇、状況、情勢、場面,2,64,U5-RT2,
1595,found,動,…を創立する,2,64,U5-RT2,
1596,center,名,（活動などの）中心地、センター,2,64,U5-RT2,
1597,spread,動,spreadの過去形,2,64,U5-RT2,
1598,spread,動,…を広げる、広める,2,64,U5-RT2,
1599,accessible,形,（…にとって）使いやすい、（…にとって）行きやすい,2,64,U5-RT2,
1600,(1970)s,名,（1970）年代,2,64,U5-RT2,
1601,regardless of,連,…にかかわらず,2,64,U5-RT2,
1602,father,名,［the father ofで］…の創始者、生みの親,2,64,U5-RT2,
1603,the,冠,［年代の10年をまとめて表す場合］the 1970s 1970年代,2,64,U5-RT2,
1604,trivia,名,雑学的な知識,2,70,U6-1,
1605,quiz,名,クイズ,2,70,U6-1,
1606,court,名,（テニス・バレーボールなどの）コート,2,70,U6-1,
1607,than,接/前,…よりも,2,70,U6-1,
1608,survey,名,調査,2,71,U6-2,
1609,curling,名,カーリング,2,71,U6-2,
1610,more,副,［比較級を作る］（～より）もっと…,2,71,U6-2,
1611,strategy,名,戦略、作戦、計画、対策,2,71,U6-2,
1612,skill,名,腕前、技術,2,71,U6-2,
1613,most,副,［最上級を作る］いちばん…、最も…,2,71,U6-2,
1614,answer,名,答え、返事,2,71,U6-2,
1615,graph,名,グラフ、図表,2,72,U6-RT1,
1616,according,副,［according toで］…によれば,2,72,U6-RT1,
1617,percent,名,パーセント,2,72,U6-RT1,
1618,such,形,そのような、このような,2,72,U6-RT1,
1619,conclusion,名,結論、決定、結末、結び,2,72,U6-RT1,
1620,half,名,半分、2分の1,2,72,U6-RT1,
1621,better,副,［well、very muchの比較級］よりよく、より以上に,2,72,U6-RT1,
1622,according to,連,…によれば,2,72,U6-RT1,
1623,as for,連,…について言えば,2,72,U6-RT1,
1624,... such as ～,連,～のような…,2,72,U6-RT1,
1625,in conclusion,連,最後に、結論として,2,72,U6-RT1,
1626,more than,連,…より多くの人［もの、こと］,2,72,U6-RT1,
1627,as,前,…のような,2,72,U6-RT1,
1628,best,副,［well、very muchの最上級］最もよく、いちばん（うまく）,2,72,U6-RT1,
1629,find,動,…に気がつく、…がわかる,2,72,U6-RT1,
1630,for,前,【関連】…については,2,72,U6-RT1,
1631,more,形,［many、muchの比較級］もっと多くの,2,72,U6-RT1,
1632,then,副,それから、その次に,2,72,U6-RT1,
1633,yes,名,賛成,2,72,U6-RT1,
1634,as,接,【比較】～と同じくらい…［ふつうas ... as ～の形で用いられる。前のasは副詞］,2,74,U6-RT2,
1635,feedback,名,意見、フィードバック,2,74,U6-RT2,
1636,speaker,名,話す人、演説者,2,74,U6-RT2,
1637,content,名,中身、内容,2,74,U6-RT2,
1638,delivery,名,話しぶり,2,74,U6-RT2,
1639,clear,形,はっきりした,2,74,U6-RT2,
1640,contact,名,接触,2,74,U6-RT2,
1641,comment,名,批評、コメント,2,74,U6-RT2,
1642,topic,名,話題、トピック,2,74,U6-RT2,
1643,spoke,動,speak の過去形,2,74,U6-RT2,
1644,data,名,資料、データ,2,74,U6-RT2,
